depth (um),width (um),overlapDepth (um)
125.513,137.906,66.461
118.519,143.778,65.332
127.411,144.747,70.277
120.519,151.223,84.011
128.846,149.010,85.933
122.031,154.337,86.593
129.632,151.538,88.451
123.096,156.422,88.489
130.188,153.385,90.724
123.925,158.076,89.253
130.623,155.159,91.198
124.560,159.325,90.123
130.975,157.143,92.809
125.074,160.013,90.555
131.257,158.729,93.465
125.499,160.553,91.285
131.491,159.962,94.331
125.858,161.003,94.331
131.491,159.962,94.331
125.858,161.003,94.331
131.491,159.962,94.331
125.858,161.003,94.331
131.491,159.962,94.331
125.858,161.003,94.331
131.491,159.962,94.331
125.858,161.003,94.331
131.491,159.962,94.331
125.858,161.003,94.331
131.491,159.962,94.331
125.858,161.003,94.331
131.491,159.962,94.331
125.858,161.003,94.331
131.491,159.962,94.331
125.858,161.003,94.331
131.491,159.962,94.331
125.858,161.003,94.331
131.491,159.962,94.331
125.858,161.003,94.331
131.491,159.962,94.331
125.858,161.003,94.331
131.491,159.962,94.331
125.858,161.003,94.331
131.491,159.962,94.331
125.858,161.003,94.331
131.491,159.962,
mean: 127.823,mean: 157.884,mean: 91.051
